person_sex,black,parent_edu_college,birth_underweight,birth_age,edu_college,mother_marital_at_birth,prt_inc,hh_inc_at_30,hh_inc_at_31,hh_inc_at_32,hh_inc_at_33,hh_inc_at_34,hh_inc_at_35
0,0,0,0,21,0,1,27049.9004649117,NaN,21458.9730015881,NaN,20135.9126984127,NaN,20156.7093816621
0,0,0,0,16.5,0,1,25555.2694105832,NaN,NaN,NaN,NaN,NaN,NaN
1,0,0,0,23,0,1,27049.9004649117,NaN,17361.1111111111,NaN,14862.7747871604,NaN,NaN
1,0,0,0,18.5,0,1,25555.2694105832,NaN,NaN,NaN,5109.0788330864,NaN,NaN
1,0,1,0,25,0,1,59099.7726171989,NaN,NaN,28216.9779334241,NaN,NaN,NaN
0,0,1,0,27,0,1,59099.7726171989,58429.2833820244,NaN,NaN,NaN,31011.2633605408,NaN
1,0,0,0,18,0,1,17499.2374317961,21573.7704918033,32524.5674740484,35087.7192982456,29854.3307086614,50669.2160611855,NaN
0,0,0,0,21,0,1,17499.2374317961,16582.6771653543,13877.6290630975,NaN,9073.61963190184,NaN,12628.3391405343
1,0,0,0,22,0,1,17499.2374317961,29619.5028680688,NaN,37985.8895705521,NaN,NaN,NaN
0,0,0,0,26,0,1,17499.2374317961,NaN,NaN,NaN,NaN,NaN,NaN
1,0,0,0,19.5,0,1,31840.3574886901,NaN,NaN,NaN,NaN,NaN,NaN
0,0,0,1,20.5,1,1,31840.3574886901,NaN,NaN,NaN,NaN,NaN,NaN
0,0,0,0,25.5,1,1,46953.2505853156,52807.1150639244,NaN,45579.6717840127,NaN,48115.0793650794,NaN
1,0,0,0,27.5,1,1,46953.2505853156,NaN,NaN,49727.1825396825,NaN,49790.2955369874,NaN
1,0,1,0,25,1,1,82727.6266198266,70802.9130131709,NaN,60574.3181442024,NaN,56814.3417139768,NaN
1,0,1,0,27,1,1,82727.6266198266,41815.1171197854,NaN,NaN,NaN,38953.0305366094,NaN
1,0,1,0,29,1,1,82727.6266198266,32801.094890511,NaN,47936.1018636956,NaN,73753.4198568738,NaN
1,0,0,0,32.5,0,1,24431.4865243445,4619.82675649663,4460.96654275093,5930.65693430657,0.880281690140845,13524.9366018597,18790.3225806452
0,0,0,0,33.5,0,1,24431.4865243445,2576.20817843866,4773.72262773723,4746.47887323944,4557.90363482671,6880.64516129032,6071.92042846213
1,0,0,0,35.5,0,1,24431.4865243445,7196.30281690141,7648.35164835165,8020.16129032258,8656.46518745218,7170.33773861968,8219.52957947256
0,0,0,0,17,0,1,9799.6593331299,4669.2607003891,NaN,2290.10058231869,NaN,13160.7142857143,NaN
1,0,0,0,19.5,0,1,19701.3951071026,NaN,13234.5156167284,NaN,23744.0476190476,NaN,46284.5385340659
1,0,0,0,21.5,0,1,19701.3951071026,NaN,10838.2936507937,NaN,11936.6660009382,NaN,31643.2476061195
0,0,0,0,18,0,1,9799.6593331299,NaN,5413.4462678666,NaN,16865.0793650794,NaN,24359.1589527317
0,0,0,0,19,0,5,9799.6593331299,13234.5156167284,NaN,9863.09523809524,NaN,7004.08261844935,NaN
1,0,0,0,22.5,0,1,19701.3951071026,19176.5873015873,NaN,10984.5194911357,NaN,12840.738159005,NaN
0,0,0,0,23.5,0,1,10105.5694711021,10089.1514106468,NaN,4362.04778870528,NaN,1444.64720194647,NaN
1,0,0,0,25,0,4,9799.6593331299,2845.1406978024,NaN,5782.38107267612,NaN,NaN,NaN
1,0,0,0,26.5,0,1,10105.5694711021,NaN,10982.6980264936,NaN,8333.09028486669,NaN,11947.0982489536
1,0,0,0,30.5,0,1,10105.5694711021,NaN,17920.6473734304,NaN,25071.5773286298,NaN,NaN
0,0,0,0,32.5,0,1,10105.5694711021,NaN,154552.936312599,NaN,NaN,NaN,NaN
1,0,0,0,34.5,0,1,10105.5694711021,NaN,NaN,NaN,NaN,NaN,NaN
0,1,0,0,25.5,1,1,29143.8702255283,NaN,71706.5036131184,NaN,77813.6580201165,NaN,68601.1904761905
1,1,0,0,30.5,0,1,29143.8702255283,148.809523809524,NaN,3994.37072404936,NaN,5640.75283413435,NaN
1,0,0,0,21.5,0,2,29143.8702255283,NaN,NaN,NaN,NaN,NaN,NaN
0,0,0,1,22,0,1,36546.9956473962,32645.7645764576,31844.5595854922,49455.8232931727,44743.0221366699,41933.0855018587,46817.5182481752
0,0,0,0,21,0,1,36546.9956473962,13834.9514563107,15841.5841584158,12124.3523316062,28614.4578313253,13474.4947064485,17239.7769516729
0,0,0,1,27.5,1,1,56480.343220334,NaN,59974.0830364649,NaN,65177.2939061525,NaN,67469.5331759541
0,0,0,0,32.5,0,1,56480.343220334,NaN,NaN,NaN,NaN,NaN,NaN
0,0,1,0,24,1,2,9537.82038079605,5181.34715025907,9084.33734939759,9139.5572666025,9049.25650557621,4159.67153284672,7482.39436619718
0,0,1,0,28,0,1,9537.82038079605,18992.700729927,19197.1830985916,15638.2079459003,18064.5161290323,18362.662586075,39500.7342143906
1,0,1,0,35,0,5,9537.82038079605,33206.2283737024,35088.3940620783,40681.1023622047,38240.9177820268,NaN,38839.8773006135
1,0,0,0,20.5,0,1,35722.5000411764,NaN,26499.2271058761,NaN,23575.6072112685,NaN,34310.7518613969
0,0,0,0,23.5,0,1,35722.5000411764,13189.1982302365,NaN,12982.4466502583,NaN,NaN,NaN
1,0,1,0,33.5,1,1,42123.833704897,NaN,NaN,NaN,NaN,NaN,NaN
0,0,1,0,35.5,1,1,42123.833704897,NaN,NaN,NaN,NaN,NaN,NaN
0,0,0,0,30.5,1,1,23317.0627673334,30837.0044052863,24228.7954383464,21458.8235294118,25283.4008097166,20060.3674540682,20076.4818355641
0,0,0,0,35.5,1,1,23317.0627673334,36458.2536647546,NaN,28982.8220858896,NaN,37921.0220673635,NaN
1,0,0,0,31.5,0,1,23317.0627673334,NaN,NaN,NaN,NaN,NaN,NaN
0,0,1,0,36,1,1,36151.8578982508,NaN,NaN,NaN,NaN,NaN,NaN
1,0,1,0,19,0,1,63741.5243957333,55885.4919399666,NaN,38215.987294865,NaN,35217.2619047619,NaN
1,0,0,0,24,1,1,35973.6035239975,NaN,NaN,NaN,NaN,NaN,NaN
1,0,1,0,21,0,1,63741.5243957333,NaN,NaN,NaN,NaN,NaN,NaN
1,0,0,0,27,0,1,35973.6035239975,31762.8374801482,NaN,23066.4682539683,NaN,NaN,NaN
0,0,1,0,27,1,1,63741.5243957333,96764.1339839307,NaN,108234.535745708,NaN,96960.3271154366,NaN
0,0,0,0,29.5,0,1,50328.5846346511,NaN,60456.5700167078,NaN,86457.1676615945,NaN,56083.3967644343
1,0,0,0,20,0,1,35973.6035239975,NaN,NaN,NaN,NaN,NaN,NaN
1,0,0,0,21,0,1,41880.0596843259,NaN,NaN,NaN,NaN,NaN,NaN
0,0,0,0,22,0,1,41880.0596843259,4709.84455958549,9989.95983935743,7354.18671799807,7302.97397769517,10416.0583941606,19401.4084507042
0,1,0,0,25,0,2,26167.0395422209,18779.9295774648,16906.1707523246,15725.8064516129,13006.8859984698,38941.2628487518,62538.1325730577
1,1,0,0,30,0,2,26618.8337415189,32388.6639676113,11810.3674540682,38240.9177820268,NaN,28834.3558282209,NaN
0,0,0,0,28.5,0,4,19967.7156357382,NaN,NaN,NaN,NaN,NaN,NaN
0,0,0,1,24.5,1,1,27047.4278060715,NaN,NaN,NaN,NaN,NaN,NaN
1,0,1,0,30.5,0,1,31866.1845205095,NaN,NaN,NaN,NaN,NaN,NaN
0,0,1,0,20.5,1,1,44378.6903113527,NaN,34442.5087108014,NaN,40780.4335742079,NaN,45023.8221281101
1,0,1,0,22.5,0,1,44378.6903113527,NaN,11063.3685380767,NaN,33350.9793541556,NaN,42162.6984126984
0,0,1,0,25,0,1,38699.261194659,NaN,NaN,NaN,NaN,NaN,NaN
0,0,1,0,30,0,1,38699.261194659,NaN,NaN,NaN,NaN,NaN,NaN
0,0,1,0,21,0,1,30424.931332288,NaN,62541.1042944785,NaN,29616.724738676,NaN,30572.5403001668
1,0,1,0,24,0,1,30424.931332288,27990.7084785134,NaN,23902.1678710395,NaN,22578.0836421387,NaN
0,0,0,0,18.5,1,1,12002.3758286242,21560.5165645522,NaN,41812.9393625269,NaN,28757.7723709111,NaN
0,0,0,0,20.5,1,1,45078.8350630882,NaN,28343.5107189212,NaN,55547.1073263044,NaN,33853.1792822709
0,0,0,0,19.5,0,1,12002.3758286242,NaN,4965.28654930007,NaN,5383.63409029467,NaN,4934.85606669805
1,0,0,0,22.5,1,1,45078.8350630882,NaN,26907.6101649094,NaN,53119.2840208827,NaN,65211.2446088719
1,0,0,0,24.5,0,1,12002.3758286242,29332.4778027308,NaN,27717.2679375724,NaN,19860.0523161689,NaN
1,0,0,0,25.5,1,1,45078.8350630882,24999.2708546001,NaN,21903.013456415,NaN,40570.1457820572,NaN
0,0,0,0,18,0,4,21758.3093109222,NaN,31762.8374801482,NaN,33239.0873015873,NaN,NaN
0,0,0,0,22,0,4,21758.3093109222,NaN,28421.3410867475,NaN,9905.2536962982,NaN,20035.3667778775
1,0,0,0,22.5,1,1,24658.9403528042,NaN,NaN,NaN,NaN,NaN,NaN
0,0,0,0,23.5,1,1,24658.9403528042,11476.6641162969,8375.91776798825,13006.4148253742,15517.6470588235,13101.2145748988,14237.5328083989
1,0,0,0,27.5,1,1,24658.9403528042,67680.8367071525,75.4593175853018,43212.2370936903,NaN,43607.3619631902,NaN
1,0,0,0,32.5,0,1,24658.9403528042,NaN,NaN,NaN,NaN,NaN,NaN
0,0,0,0,33.5,1,1,24658.9403528042,30197.4448315912,NaN,27852.6959421901,NaN,29751.1911064055,NaN
0,0,0,0,35.5,1,1,24658.9403528042,32524.7359644247,NaN,36061.4081524616,NaN,36746.0317460317,NaN
0,0,0,0,38.5,1,1,24658.9403528042,NaN,20304.0674603175,NaN,21225.9002429135,NaN,31645.9991928679
0,0,1,0,27,0,1,34175.2051201197,NaN,36637.7679634578,NaN,27046.7638547048,NaN,NaN
0,0,1,0,30,0,1,34175.2051201197,23783.3786044643,NaN,NaN,NaN,NaN,NaN
0,0,1,0,26.5,1,1,49340.2681144876,NaN,NaN,NaN,NaN,NaN,NaN
0,0,1,0,28.5,0,1,49340.2681144876,NaN,NaN,NaN,NaN,NaN,NaN
0,0,1,0,34.5,0,1,59155.4120817562,NaN,NaN,NaN,NaN,NaN,NaN
1,0,0,0,21.5,0,1,48932.2235194961,30161.2903225806,31752.104055088,27533.0396475771,24946.5431218817,25559.169550173,28879.8920377868
1,0,0,0,26.5,0,1,48932.2235194961,23028.3400809717,19552.4934383202,28043.3397068196,NaN,23163.1901840491,NaN
0,0,0,0,23.5,1,1,48932.2235194961,76725.4038179148,66999.2872416251,50532.1799307958,58031.0391363023,67654.8556430446,89228.8081580625
0,0,0,0,35.5,1,1,48932.2235194961,NaN,25410.2699841186,NaN,21775.7936507937,NaN,23294.1482468893
0,0,0,0,40.5,0,1,48932.2235194961,36228.0135437035,NaN,34394.8343544777,NaN,30053.0501668162,NaN
0,0,1,0,29.5,1,1,27561.5528028699,NaN,NaN,NaN,NaN,NaN,NaN
1,0,1,0,31.5,1,1,27561.5528028699,NaN,NaN,NaN,NaN,NaN,NaN
0,0,1,0,33,1,1,72450.7434166444,NaN,NaN,NaN,NaN,NaN,NaN
1,0,1,0,35,0,1,72450.7434166444,NaN,NaN,NaN,NaN,NaN,NaN
0,0,0,0,28,0,1,23821.5071856367,30778.1649245064,NaN,33351.8621456365,NaN,33509.7935415564,NaN
1,0,0,0,27.5,0,1,37617.4233131492,NaN,NaN,NaN,NaN,NaN,NaN
1,0,0,0,32.5,0,1,37617.4233131492,NaN,NaN,NaN,NaN,NaN,NaN
1,0,0,0,34.5,0,1,37617.4233131492,NaN,NaN,NaN,NaN,NaN,NaN
1,0,0,0,21,0,1,30798.5981653371,32570.4225352113,23499.5773457312,16532.2580645161,25631.2165263963,26211.4537444934,18959.3727726301
